production_system,group,age_group,sex,ahle_component,cause,disease,median,mean,sd,lower95,upper95,pct_of_total,exchg_rate_lcuperusdol,mean_usd,median_usd,lower95_usd,upper95_usd,sd_usd
Crop livestock mixed,Neonate,Neonatal,Overall,Production loss,External,Cause 5,21796491.477624,24650587.395574998,100031284.79019241,-171410730.79320213,220711905.5843521,0.013745742971407106,29.06975,847980.715196209,749799.7567101197,-5896532.67720576,7592494.107598177,3441078.261429576
Pastoral,Adult female,Adult,Female,Production loss,External,Cause 1,2255713098.46292,2266167098.6563,344724868.778318,1590506355.8507967,2941827841.4618034,1.2636676752774096,29.06975,77956194.9674937,77596577.14507075,54713451.46933829,101198938.46564913,11858542.6010997
Pastoral,Adult female,Adult,Female,Production loss,External,Cause 2,2255713098.46292,2266167098.6563,344724868.778318,1590506355.8507967,2941827841.4618034,1.2636676752774096,29.06975,77956194.9674937,77596577.14507075,54713451.46933829,101198938.46564913,11858542.6010997
Pastoral,Adult female,Adult,Female,Production loss,External,Cause 3,2255713098.46292,2266167098.6563,344724868.778318,1590506355.8507967,2941827841.4618034,1.2636676752774096,29.06975,77956194.9674937,77596577.14507075,54713451.46933829,101198938.46564913,11858542.6010997
Pastoral,Adult female,Adult,Female,Production loss,External,Cause 4,2255713098.46292,2266167098.6563,344724868.778318,1590506355.8507967,2941827841.4618034,1.2636676752774096,29.06975,77956194.9674937,77596577.14507075,54713451.46933829,101198938.46564913,11858542.6010997
Pastoral,Adult female,Adult,Female,Production loss,External,Cause 5,2255713098.46292,2266167098.6563,344724868.778318,1590506355.8507967,2941827841.4618034,1.2636676752774096,29.06975,77956194.9674937,77596577.14507075,54713451.46933829,101198938.46564913,11858542.6010997
Pastoral,Adult male,Adult,Male,Production loss,External,Cause 1,1126685568.081658,1135578162.78423,200556806.844634,742486821.3687474,1528669504.1997128,0.6332248923356992,29.06975,39063912.238124855,38758006.79681311,25541561.9800221,52586262.496227615,6899158.2949503865
Pastoral,Adult male,Adult,Male,Production loss,External,Cause 2,1126685568.081658,1135578162.78423,200556806.844634,742486821.3687474,1528669504.1997128,0.6332248923356992,29.06975,39063912.238124855,38758006.79681311,25541561.9800221,52586262.496227615,6899158.2949503865
Pastoral,Adult male,Adult,Male,Production loss,External,Cause 3,1126685568.081658,1135578162.78423,200556806.844634,742486821.3687474,1528669504.1997128,0.6332248923356992,29.06975,39063912.238124855,38758006.79681311,25541561.9800221,52586262.496227615,6899158.2949503865
Pastoral,Adult male,Adult,Male,Production loss,External,Cause 4,1126685568.081658,1135578162.78423,200556806.844634,742486821.3687474,1528669504.1997128,0.6332248923356992,29.06975,39063912.238124855,38758006.79681311,25541561.9800221,52586262.496227615,6899158.2949503865
Pastoral,Adult male,Adult,Male,Production loss,External,Cause 5,1126685568.081658,1135578162.78423,200556806.844634,742486821.3687474,1528669504.1997128,0.6332248923356992,29.06975,39063912.238124855,38758006.79681311,25541561.9800221,52586262.496227615,6899158.2949503865
Pastoral,Juvenile,Juvenile,Overall,Production loss,External,Cause 1,890976646.838836,898616683.948946,168461744.5641732,568431664.6031666,1228801703.2947254,0.5010896401437358,29.06975,30912432.47530323,30649615.041024983,19554060.99478553,42270803.955820926,5795087.490060052
Pastoral,Juvenile,Juvenile,Overall,Production loss,External,Cause 2,890976646.838836,898616683.948946,168461744.5641732,568431664.6031666,1228801703.2947254,0.5010896401437358,29.06975,30912432.47530323,30649615.041024983,19554060.99478553,42270803.955820926,5795087.490060052
Pastoral,Juvenile,Juvenile,Overall,Production loss,External,Cause 3,890976646.838836,898616683.948946,168461744.5641732,568431664.6031666,1228801703.2947254,0.5010896401437358,29.06975,30912432.47530323,30649615.041024983,19554060.99478553,42270803.955820926,5795087.490060052
Pastoral,Juvenile,Juvenile,Overall,Production loss,External,Cause 4,890976646.838836,898616683.948946,168461744.5641732,568431664.6031666,1228801703.2947254,0.5010896401437358,29.06975,30912432.47530323,30649615.041024983,19554060.99478553,42270803.955820926,5795087.490060052
Pastoral,Juvenile,Juvenile,Overall,Production loss,External,Cause 5,890976646.838836,898616683.948946,168461744.5641732,568431664.6031666,1228801703.2947254,0.5010896401437358,29.06975,30912432.47530323,30649615.041024983,19554060.99478553,42270803.955820926,5795087.490060052
Pastoral,Neonate,Neonatal,Overall,Production loss,External,Cause 1,653456290.634416,659022484.92623,152790278.1328088,359553539.7859247,958491430.0665352,0.36748632171743295,29.06975,22670387.083694562,22478909.88516984,12368649.189825322,32972124.9775638,5255988.721361856
Pastoral,Neonate,Neonatal,Overall,Production loss,External,Cause 2,653456290.634416,659022484.92623,152790278.1328088,359553539.7859247,958491430.0665352,0.36748632171743295,29.06975,22670387.083694562,22478909.88516984,12368649.189825322,32972124.9775638,5255988.721361856
Pastoral,Neonate,Neonatal,Overall,Production loss,External,Cause 3,653456290.634416,659022484.92623,152790278.1328088,359553539.7859247,958491430.0665352,0.36748632171743295,29.06975,22670387.083694562,22478909.88516984,12368649.189825322,32972124.9775638,5255988.721361856
