region,scope,number_of_countries,antimicrobial_class,amu_tonnes,importance_ctg,antimicrobial_class_group,antimicrobial_class_group2,biomass_total_kg,amu_mg_perkgbiomass
Middle East,Terrestrial Food Producing,1.0,glycopeptides,0.255,A: Critically Important,other_critically_important,others,2421760815.033676,0.10529528697343882
Africa,AGP,1.0,glycophospholipids,0.0,C: Other,other_low_importance,others,,
Americas,AGP,5.0,glycophospholipids,13.90780678,C: Other,other_low_importance,others,,
"Asia, Far East and Oceania",AGP,6.0,glycophospholipids,97.183,C: Other,other_low_importance,others,,
Europe,AGP,0.0,glycophospholipids,0.0,C: Other,other_low_importance,others,,
Middle East,AGP,0.0,glycophospholipids,0.0,C: Other,other_low_importance,others,,
Africa,All,24.0,glycophospholipids,110.0,C: Other,other_low_importance,others,82210550037.93834,1.3380277829212608
Americas,All,19.0,glycophospholipids,34.70140678,C: Other,other_low_importance,others,307414936043.14056,0.11288132979696938
"Asia, Far East and Oceania",All,22.0,glycophospholipids,99.261,C: Other,other_low_importance,others,282812613977.946,0.3509779800972402
Europe,All,41.0,glycophospholipids,0.084,C: Other,other_low_importance,others,136752195587.50722,0.0006142497357290963
Middle East,All,3.0,glycophospholipids,0.0,C: Other,other_low_importance,others,2446925465.033676,0.0
Africa,Terrestrial Food Producing,6.0,glycophospholipids,110.0,C: Other,other_low_importance,others,81776881551.43832,1.345123437249305
Americas,Terrestrial Food Producing,11.0,glycophospholipids,0.0,C: Other,other_low_importance,others,299914043716.64056,0.0
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,glycophospholipids,0.0,C: Other,other_low_importance,others,227493629165.94614,0.0
Europe,Terrestrial Food Producing,10.0,glycophospholipids,0.0,C: Other,other_low_importance,others,133355079235.00725,0.0
Middle East,Terrestrial Food Producing,1.0,glycophospholipids,0.0,C: Other,other_low_importance,others,2421760815.033676,0.0
Africa,AGP,1.0,lincosamides,0.0,B: Highly Important,other_highly_important,others,,
Americas,AGP,5.0,lincosamides,22.0210782,B: Highly Important,other_highly_important,others,,
"Asia, Far East and Oceania",AGP,6.0,lincosamides,0.21,B: Highly Important,other_highly_important,others,,
Europe,AGP,0.0,lincosamides,0.0,B: Highly Important,other_highly_important,others,,
Middle East,AGP,0.0,lincosamides,0.0,B: Highly Important,other_highly_important,others,,
Africa,All,24.0,lincosamides,1.36453,B: Highly Important,other_highly_important,others,82210550037.93834,0.01659799136935953
Americas,All,19.0,lincosamides,379.67399613999993,B: Highly Important,other_highly_important,others,307414936043.14056,1.2350538364431292
"Asia, Far East and Oceania",All,22.0,lincosamides,647.3119385724606,B: Highly Important,other_highly_important,others,282812613977.946,2.2888368714096274
Europe,All,41.0,lincosamides,303.67643927872007,B: Highly Important,other_highly_important,others,136752195587.50722,2.2206330068346043
Middle East,All,3.0,lincosamides,0.06,B: Highly Important,other_highly_important,others,2446925465.033676,0.02452056707790821
Africa,Terrestrial Food Producing,6.0,lincosamides,0.0289,B: Highly Important,other_highly_important,others,81776881551.43832,0.00035340061215004465
Americas,Terrestrial Food Producing,11.0,lincosamides,50.15478038999999,B: Highly Important,other_highly_important,others,299914043716.64056,0.16723051634549777
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,lincosamides,490.94257899999997,B: Highly Important,other_highly_important,others,227493629165.94614,2.1580497915477004
Europe,Terrestrial Food Producing,10.0,lincosamides,10.19814494,B: Highly Important,other_highly_important,others,133355079235.00725,0.07647361464221507
Middle East,Terrestrial Food Producing,1.0,lincosamides,0.0,B: Highly Important,other_highly_important,others,2421760815.033676,0.0
Africa,AGP,1.0,macrolides,0.0,A: Critically Important,macrolides,macrolides,,
Americas,AGP,5.0,macrolides,62.46305198999999,A: Critically Important,macrolides,macrolides,,
"Asia, Far East and Oceania",AGP,6.0,macrolides,1174.582,A: Critically Important,macrolides,macrolides,,
Europe,AGP,0.0,macrolides,0.0,A: Critically Important,macrolides,macrolides,,
Middle East,AGP,0.0,macrolides,0.0,A: Critically Important,macrolides,macrolides,,
Africa,All,24.0,macrolides,78.34148013000001,A: Critically Important,macrolides,macrolides,82210550037.93834,0.9529370633555809
Americas,All,19.0,macrolides,1472.3875462015326,A: Critically Important,macrolides,macrolides,307414936043.14056,4.789577127101292
"Asia, Far East and Oceania",All,22.0,macrolides,3981.0877146068183,A: Critically Important,macrolides,macrolides,282812613977.946,14.076768566331584
Europe,All,41.0,macrolides,565.3769923958588,A: Critically Important,macrolides,macrolides,136752195587.50722,4.134317478172233
Middle East,All,3.0,macrolides,8.01,A: Critically Important,macrolides,macrolides,2446925465.033676,3.2734957049007463
Africa,Terrestrial Food Producing,6.0,macrolides,25.859299999999994,A: Critically Important,macrolides,macrolides,81776881551.43832,0.3162177318260086
Americas,Terrestrial Food Producing,11.0,macrolides,307.94853991403255,A: Critically Important,macrolides,macrolides,299914043716.64056,1.0267893296953543
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,macrolides,2131.053008,A: Critically Important,macrolides,macrolides,227493629165.94614,9.36752829436597
Europe,Terrestrial Food Producing,10.0,macrolides,70.04560975005869,A: Critically Important,macrolides,macrolides,133355079235.00725,0.525256406819118
Middle East,Terrestrial Food Producing,1.0,macrolides,7.79,A: Critically Important,macrolides,macrolides,2421760815.033676,3.2166677863650524
Africa,AGP,1.0,nitrofurans,0.0,C: Other,other_low_importance,others,,
Americas,AGP,5.0,nitrofurans,0.0,C: Other,other_low_importance,others,,
"Asia, Far East and Oceania",AGP,6.0,nitrofurans,0.0,C: Other,other_low_importance,others,,
Europe,AGP,0.0,nitrofurans,0.0,C: Other,other_low_importance,others,,
Middle East,AGP,0.0,nitrofurans,0.0,C: Other,other_low_importance,others,,
Africa,All,24.0,nitrofurans,0.16666,C: Other,other_low_importance,others,82210550037.93834,0.0020272337300150664
Americas,All,19.0,nitrofurans,0.303410528,C: Other,other_low_importance,others,307414936043.14056,0.0009869739314078787
"Asia, Far East and Oceania",All,22.0,nitrofurans,3.2116587,C: Other,other_low_importance,others,282812613977.946,0.011356136682964391
Europe,All,41.0,nitrofurans,0.41274580000000005,C: Other,other_low_importance,others,136752195587.50722,0.0030182023639677914
Middle East,All,3.0,nitrofurans,0.01,C: Other,other_low_importance,others,2446925465.033676,0.004086761179651368
Africa,Terrestrial Food Producing,6.0,nitrofurans,0.138,C: Other,other_low_importance,others,81776881551.43832,0.0016875184940036737
Americas,Terrestrial Food Producing,11.0,nitrofurans,0.0,C: Other,other_low_importance,others,299914043716.64056,0.0
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,nitrofurans,0.0,C: Other,other_low_importance,others,227493629165.94614,0.0
Europe,Terrestrial Food Producing,10.0,nitrofurans,0.001,C: Other,other_low_importance,others,133355079235.00725,7.498776992496349e-06
Middle East,Terrestrial Food Producing,1.0,nitrofurans,0.0,C: Other,other_low_importance,others,2421760815.033676,0.0
Africa,AGP,1.0,orthosomycins,0.0,C: Other,other_low_importance,others,,
Americas,AGP,5.0,orthosomycins,3.6422226500000003,C: Other,other_low_importance,others,,
"Asia, Far East and Oceania",AGP,6.0,orthosomycins,26.195,C: Other,other_low_importance,others,,
Europe,AGP,0.0,orthosomycins,0.0,C: Other,other_low_importance,others,,
Middle East,AGP,0.0,orthosomycins,0.0,C: Other,other_low_importance,others,,
Africa,All,24.0,orthosomycins,0.0,C: Other,other_low_importance,others,82210550037.93834,0.0
Americas,All,19.0,orthosomycins,27.93374765,C: Other,other_low_importance,others,307414936043.14056,0.09086659226629108
"Asia, Far East and Oceania",All,22.0,orthosomycins,40.708,C: Other,other_low_importance,others,282812613977.946,0.1439398314927157
Europe,All,41.0,orthosomycins,4.813,C: Other,other_low_importance,others,136752195587.50722,0.035195047357906434
Middle East,All,3.0,orthosomycins,0.0,C: Other,other_low_importance,others,2446925465.033676,0.0
Africa,Terrestrial Food Producing,6.0,orthosomycins,0.0,C: Other,other_low_importance,others,81776881551.43832,0.0
Americas,Terrestrial Food Producing,11.0,orthosomycins,18.715525000000003,C: Other,other_low_importance,others,299914043716.64056,0.06240296308925924
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,orthosomycins,3.353,C: Other,other_low_importance,others,227493629165.94614,0.014738874280976639
Europe,Terrestrial Food Producing,10.0,orthosomycins,0.0,C: Other,other_low_importance,others,133355079235.00725,0.0
Middle East,Terrestrial Food Producing,1.0,orthosomycins,0.0,C: Other,other_low_importance,others,2421760815.033676,0.0
Africa,AGP,1.0,other_quinolones,0.0,A: Critically Important,other_critically_important,others,,
Americas,AGP,5.0,other_quinolones,0.0,A: Critically Important,other_critically_important,others,,
"Asia, Far East and Oceania",AGP,6.0,other_quinolones,0.0,A: Critically Important,other_critically_important,others,,
Europe,AGP,0.0,other_quinolones,0.0,A: Critically Important,other_critically_important,others,,
Middle East,AGP,0.0,other_quinolones,0.0,A: Critically Important,other_critically_important,others,,
Africa,All,24.0,other_quinolones,0.83929,A: Critically Important,other_critically_important,others,82210550037.93834,0.010209030344799861
Americas,All,19.0,other_quinolones,8.016018,A: Critically Important,other_critically_important,others,307414936043.14056,0.026075564522587434
"Asia, Far East and Oceania",All,22.0,other_quinolones,20.504566,A: Critically Important,other_critically_important,others,282812613977.946,0.07250230359809541
Europe,All,41.0,other_quinolones,18.93956725,A: Critically Important,other_critically_important,others,136752195587.50722,0.13849552593018982
Middle East,All,3.0,other_quinolones,0.1,A: Critically Important,other_critically_important,others,2446925465.033676,0.040867611796513686
Africa,Terrestrial Food Producing,6.0,other_quinolones,0.06985000000000001,A: Critically Important,other_critically_important,others,81776881551.43832,0.0008541533826533089
Americas,Terrestrial Food Producing,11.0,other_quinolones,0.0,A: Critically Important,other_critically_important,others,299914043716.64056,0.0
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,other_quinolones,3.9355,A: Critically Important,other_critically_important,others,227493629165.94614,0.017299385545118867
Europe,Terrestrial Food Producing,10.0,other_quinolones,3.2066000000000003,A: Critically Important,other_critically_important,others,133355079235.00725,0.024045578304138795
Middle East,Terrestrial Food Producing,1.0,other_quinolones,0.0,A: Critically Important,other_critically_important,others,2421760815.033676,0.0
Africa,AGP,1.0,penicillins,0.0,A: Critically Important,penicillins,penicillins,,
Americas,AGP,5.0,penicillins,0.025,A: Critically Important,penicillins,penicillins,,
"Asia, Far East and Oceania",AGP,6.0,penicillins,7.174,A: Critically Important,penicillins,penicillins,,
Europe,AGP,0.0,penicillins,0.0,A: Critically Important,penicillins,penicillins,,
Middle East,AGP,0.0,penicillins,0.0,A: Critically Important,penicillins,penicillins,,
Africa,All,24.0,penicillins,139.48317097044,A: Critically Important,penicillins,penicillins,82210550037.93834,1.696657800076409
Americas,All,19.0,penicillins,1851.932388023641,A: Critically Important,penicillins,penicillins,307414936043.14056,6.024210833281546
"Asia, Far East and Oceania",All,22.0,penicillins,5809.310729588148,A: Critically Important,penicillins,penicillins,282812613977.946,20.541200931162017
Europe,All,41.0,penicillins,1957.1912464123898,A: Critically Important,penicillins,penicillins,136752195587.50722,14.311954831906084
Middle East,All,3.0,penicillins,4.881,A: Critically Important,penicillins,penicillins,2446925465.033676,1.994748131787833
Africa,Terrestrial Food Producing,6.0,penicillins,23.96869234544,A: Critically Important,penicillins,penicillins,81776881551.43832,0.293098634855176
Americas,Terrestrial Food Producing,11.0,penicillins,401.5405668801895,A: Critically Important,penicillins,penicillins,299914043716.64056,1.3388521654543322
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,penicillins,3496.1875820142955,A: Critically Important,penicillins,penicillins,227493629165.94614,15.368287871762718
Europe,Terrestrial Food Producing,10.0,penicillins,206.96175723087998,A: Critically Important,penicillins,penicillins,133355079235.00725,1.5519600634495376
Middle East,Terrestrial Food Producing,1.0,penicillins,2.525,A: Critically Important,penicillins,penicillins,2421760815.033676,1.042629802384051
Africa,AGP,1.0,pleuromutilins,0.0,C: Other,pleuromutilins,others,,
Americas,AGP,5.0,pleuromutilins,37.982856874999996,C: Other,pleuromutilins,others,,
"Asia, Far East and Oceania",AGP,6.0,pleuromutilins,12.399,C: Other,pleuromutilins,others,,
Europe,AGP,0.0,pleuromutilins,0.0,C: Other,pleuromutilins,others,,
Middle East,AGP,0.0,pleuromutilins,0.0,C: Other,pleuromutilins,others,,
Africa,All,24.0,pleuromutilins,3.6,C: Other,pleuromutilins,others,82210550037.93834,0.04379000016833217
Americas,All,19.0,pleuromutilins,369.877642475,C: Other,pleuromutilins,others,307414936043.14056,1.2031869603859906
"Asia, Far East and Oceania",All,22.0,pleuromutilins,1161.8913148328797,C: Other,pleuromutilins,others,282812613977.946,4.108343324896693
Europe,All,41.0,pleuromutilins,194.229793234,C: Other,pleuromutilins,others,136752195587.50722,1.4203047519607324
Middle East,All,3.0,pleuromutilins,0.0,C: Other,pleuromutilins,others,2446925465.033676,0.0
Africa,Terrestrial Food Producing,6.0,pleuromutilins,0.0,C: Other,pleuromutilins,others,81776881551.43832,0.0
Americas,Terrestrial Food Producing,11.0,pleuromutilins,225.37439490000003,C: Other,pleuromutilins,others,299914043716.64056,0.7514632929724833
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,pleuromutilins,639.7021958830197,C: Other,pleuromutilins,others,227493629165.94614,2.811956529193116
