iso3,year,incomegroup,flag
COG,2003,L,
CRI,2003,UM,
CIV,2003,L,
HRV,2003,UM,
CUB,2003,LM,
CUW,2003,..,
CYP,2003,H,
CZE,2003,UM,
DNK,2003,H,
DJI,2003,LM,
DMA,2003,UM,
DOM,2003,LM,
ECU,2003,LM,
EGY,2003,LM,
SLV,2003,LM,
GNQ,2003,L,
ERI,2003,L,
EST,2003,UM,
SWZ,2003,LM,
ETH,2003,L,
FRO,2003,H,
FJI,2003,LM,
FIN,2003,H,
FRA,2003,H,
PYF,2003,H,
GAB,2003,UM,
GMB,2003,L,
GEO,2003,LM,
DEU,2003,H,
GHA,2003,L,
GIB,2003,..,
GRC,2003,H,
GRL,2003,H,
GRD,2003,UM,
GUM,2003,H,
GTM,2003,LM,
GIN,2003,L,
GNB,2003,L,
GUY,2003,LM,
HTI,2003,L,
HND,2003,LM,
HKG,2003,H,
HUN,2003,UM,
ISL,2003,H,
IND,2003,L,
IDN,2003,LM,
IRN,2003,LM,
IRQ,2003,LM,
IRL,2003,H,
IMN,2003,H,
ISR,2003,H,
ITA,2003,H,
JAM,2003,LM,
JPN,2003,H,
JOR,2003,LM,
KAZ,2003,LM,
KEN,2003,L,
KIR,2003,LM,
PRK,2003,L,
KOR,2003,H,
XKX,2003,..,
KWT,2003,H,
KGZ,2003,L,
LAO,2003,L,
LVA,2003,UM,
LBN,2003,UM,
LSO,2003,L,
LBR,2003,L,
LBY,2003,UM,
LIE,2003,H,
LTU,2003,UM,
LUX,2003,H,
MAC,2003,H,
MDG,2003,L,
MWI,2003,L,
MYS,2003,UM,
MDV,2003,LM,
MLI,2003,L,
MLT,2003,H,
MHL,2003,LM,
MRT,2003,L,
MUS,2003,UM,
MEX,2003,UM,
FSM,2003,LM,
MDA,2003,L,
MCO,2003,H,
MNG,2003,L,
MNE,2003,..,
MAR,2003,LM,
MOZ,2003,L,
MMR,2003,L,
NAM,2003,LM,
NRU,2003,..,
NPL,2003,L,
NLD,2003,H,
NCL,2003,H,
NZL,2003,H,
NIC,2003,L,
NER,2003,L,
NGA,2003,L,
MKD,2003,LM,
MNP,2003,UM,
NOR,2003,H,
OMN,2003,UM,
PAK,2003,L,
PLW,2003,UM,
PAN,2003,UM,
PNG,2003,L,
PRY,2003,LM,
PER,2003,LM,
PHL,2003,LM,
POL,2003,UM,
PRT,2003,H,
PRI,2003,H,
QAT,2003,H,
ROU,2003,LM,
RUS,2003,LM,
RWA,2003,L,
WSM,2003,LM,
SMR,2003,H,
STP,2003,L,
SAU,2003,UM,
SEN,2003,L,
SRB,2003,..,
SYC,2003,UM,
SLE,2003,L,
SGP,2003,H,
SXM,2003,..,
SVK,2003,UM,
SVN,2003,H,
SLB,2003,L,
SOM,2003,L,
ZAF,2003,LM,
SSD,2003,..,
ESP,2003,H,
LKA,2003,LM,
KNA,2003,UM,
LCA,2003,UM,
MAF,2003,..,
VCT,2003,UM,
SDN,2003,L,
SUR,2003,LM,
SWE,2003,H,
CHE,2003,H,
SYR,2003,LM,
TWN,2003,H,
TJK,2003,L,
TZA,2003,L,
THA,2003,LM,
TLS,2003,L,
TGO,2003,L,
TON,2003,LM,
TTO,2003,UM,
TUN,2003,LM,
TUR,2003,LM,
TKM,2003,LM,
TCA,2003,..,
TUV,2003,..,
UGA,2003,L,
UKR,2003,LM,
ARE,2003,H,
GBR,2003,H,
USA,2003,H,
URY,2003,UM,
UZB,2003,L,
VUT,2003,LM,
VEN,2003,UM,
VNM,2003,L,
VIR,2003,H,
PSE,2003,LM,
YEM,2003,L,
ZMB,2003,L,
ZWE,2003,L,
AFG,2004,L,
ALB,2004,LM,
DZA,2004,LM,
ASM,2004,UM,
AND,2004,H,
AGO,2004,LM,
ATG,2004,UM,
ARG,2004,UM,
ARM,2004,LM,
ABW,2004,H,
AUS,2004,H,
AUT,2004,H,
AZE,2004,LM,
BHS,2004,H,
BHR,2004,H,
BGD,2004,L,
BRB,2004,UM,
BLR,2004,LM,
BEL,2004,H,
BLZ,2004,UM,
BEN,2004,L,
BMU,2004,H,
BTN,2004,L,
BOL,2004,LM,
BIH,2004,LM,
BWA,2004,UM,
BRA,2004,LM,
VGB,2004,..,
BRN,2004,H,
BGR,2004,LM,
BFA,2004,L,
BDI,2004,L,
CPV,2004,LM,
KHM,2004,L,
CMR,2004,L,
CAN,2004,H,
CYM,2004,H,
CAF,2004,L,
TCD,2004,L,
CHI,2004,H,
CHL,2004,UM,
CHN,2004,LM,
COL,2004,LM,
COM,2004,L,
COD,2004,L,
COG,2004,L,
CRI,2004,UM,
CIV,2004,L,
HRV,2004,UM,
CUB,2004,LM,
CUW,2004,..,
CYP,2004,H,
CZE,2004,UM,
DNK,2004,H,
DJI,2004,LM,
DMA,2004,UM,
DOM,2004,LM,
ECU,2004,LM,
EGY,2004,LM,
SLV,2004,LM,
GNQ,2004,UM,
ERI,2004,L,
EST,2004,UM,
SWZ,2004,LM,
ETH,2004,L,
FRO,2004,H,
FJI,2004,LM,
FIN,2004,H,
FRA,2004,H,
PYF,2004,H,
GAB,2004,UM,
GMB,2004,L,
GEO,2004,LM,
DEU,2004,H,
GHA,2004,L,
GIB,2004,..,
GRC,2004,H,
GRL,2004,H,
GRD,2004,UM,
GUM,2004,H,
GTM,2004,LM,
GIN,2004,L,
GNB,2004,L,
GUY,2004,LM,
HTI,2004,L,
HND,2004,LM,
HKG,2004,H,
HUN,2004,UM,
ISL,2004,H,
IND,2004,L,
IDN,2004,LM,
IRN,2004,LM,
IRQ,2004,LM,
IRL,2004,H,
IMN,2004,H,
ISR,2004,H,
ITA,2004,H,
JAM,2004,LM,
JPN,2004,H,
JOR,2004,LM,
KAZ,2004,LM,
KEN,2004,L,
KIR,2004,LM,
